play_count,score,link,domain,name
95640000,6.7,https://v.qq.com/x/cover/covkqqnwb3hbo2f.html,qq,秀丽江山之长歌行[未删减版]
6720000,8.7,https://v.qq.com/x/cover/cuu5ut3qg7l0v0c.html,qq,大唐情史
2310000,6.9,https://v.qq.com/x/cover/hr5644nngx8mlkw.html,qq,我是真的
100000000,9.5,https://v.qq.com/x/cover/v0v3l4jwkznj6ja.html,qq,新白娘子传奇
5680000,8.3,https://v.qq.com/x/cover/qu99sxicdtuwmtx.html,qq,明珠游龙
200000000,6.4,https://v.qq.com/x/cover/f47clm2cfidut27.html,qq,双刺
8250000,7.0,https://v.qq.com/x/cover/1wbx6hb4d3icse8.html,qq,如懿传
10270000,6.8,https://v.qq.com/x/cover/3j8n5sxccplgo34.html,qq,北方汉子
2470000,8.7,https://v.qq.com/x/cover/1s7wik2fkxdrr2n.html,qq,牵挂
53200000,8.4,https://v.qq.com/x/cover/5g0eyi365kyubkn.html,qq,乡村爱情2
100000000,6.4,https://v.qq.com/x/cover/ah8pfddaw84ddbu.html,qq,遥远的距离
3160000,7.0,https://v.qq.com/x/cover/gdtk9avk7wgbvoh.html,qq,谁懂女儿心
160000,7.3,https://v.qq.com/x/cover/ew2q91nfhg78p00.html,qq,梦想X计划
98780000,6.9,https://v.qq.com/x/cover/k0w1msk1a9sm53v.html,qq,终极使命
2500000000,9.1,https://v.qq.com/x/cover/fkvjlswh3k5l98o.html,qq,好先生
1000000000,9.1,https://v.qq.com/x/cover/hu8koo0bfj03u3n.html,qq,柠檬初上
37120000,8.4,https://v.qq.com/x/cover/mft4owe41zh11pm.html,qq,新包青天之七侠五义
13650000,7.5,https://v.qq.com/x/cover/fjnttw38qvb2joe.html,qq,青盲
7110000,6.5,https://v.qq.com/x/cover/jer34r7cr42pwtb.html,qq,钻石豪门
100000000,7.7,https://v.qq.com/x/cover/ylinn1lzte9iwpy.html,qq,豆娘
20270000,7.9,https://v.qq.com/x/cover/vxh19ae7pth9hnd.html,qq,吸血鬼侦探
46740000,8.5,https://v.qq.com/x/cover/y56h6u0dsudjkou.html,qq,剑谍
4140000,6.8,https://v.qq.com/x/cover/y0mez6glqd82y3x.html,qq,鸡祥如意
51340000,6.5,https://v.qq.com/x/cover/n0qu8qfcjbdo4zs.html,qq,无名者
400000000,6.4,https://v.qq.com/x/cover/sj4kf453gdk4n86.html,qq,伏击
300000000,6.4,https://v.qq.com/x/cover/5we5agamqr8bify.html,qq,爱情珠宝
7300000,9.0,https://v.qq.com/x/cover/jfr4vvmgw438uim.html,qq,历史的天空
2860000,7.2,https://v.qq.com/x/cover/qaakd138fc6mp17.html,qq,保密局一九四九
24920000,6.3,https://v.qq.com/x/cover/t8og2fll0yqxsjd.html,qq,少林寺之大漠英豪
16890000,8.8,https://v.qq.com/x/cover/zsxau2yudljubzt.html,qq,甜蜜蜜
8830000,7.1,https://v.qq.com/x/cover/pkl2qql38mufhjw.html,qq,迷侠
10740000,6.5,https://v.qq.com/x/cover/2u0xx03e61nyl4f.html,qq,我们成为星星
3580000,6.4,https://v.qq.com/x/cover/sesj1yzulmp76b9.html,qq,红色黎明
200000000,7.8,https://v.qq.com/x/cover/0j25zm6o02ceyv1.html,qq,五号特工组2
48480000,8.4,https://v.qq.com/x/cover/7xznp6wv213h77o.html,qq,乡村爱情1
2780000,8.3,https://v.qq.com/x/cover/anru8xgvo10k79l.html,qq,杨光的快乐生活6
22970000,6.4,https://v.qq.com/x/cover/f37iq8326xg2phr.html,qq,双刺[未删减版]
10940000,9.5,https://v.qq.com/x/cover/y3cgt4a93z17y9t.html,qq,天道
1240000,7.4,https://v.qq.com/x/cover/lnnijsrcp2djcm5.html,qq,X战警：军团
10340000,8.0,https://v.qq.com/x/cover/vpetv6q38356t8c.html,qq,我要一个家
46850000,9.3,https://v.qq.com/x/cover/1cbvxi8bagoe5pj.html,qq,血色浪漫
52010000,7.5,https://v.qq.com/x/cover/2m5tkloa49ont7p.html,qq,向幸福出发
500000000,7.9,https://v.qq.com/x/cover/ak92y66d1k7obgq.html,qq,昆仑阙之前世今生
22900000,8.8,https://v.qq.com/x/cover/rlrrs9q4o2tdqii.html,qq,使命
1300000000,7.2,https://v.qq.com/x/cover/qshg5knc38fyfdf.html,qq,北上广依然相信爱情
1630000,6.7,https://v.qq.com/x/cover/50yf1q5tbu7iu3l.html,qq,明末风云
2150000,7.3,https://v.qq.com/x/cover/6s04kqnf8sknmax.html,qq,阳光的味道
3950000,6.4,https://v.qq.com/x/cover/zva7mh3wayupulh.html,qq,龙游天下
600000000,7.1,https://v.qq.com/x/cover/447vn3n402rdrzp.html,qq,第22条婚规2
200000000,7.4,https://v.qq.com/x/cover/nccxk4pai5lmog1.html,qq,最热电视剧好声音
500000000,9.0,https://v.qq.com/x/cover/j9xn8rw7avsdwke.html,qq,W两个世界
200000000,8.2,https://v.qq.com/x/cover/lvzkfftf8lb0gl5.html,qq,鬼吹灯天天见
160000,7.2,https://v.qq.com/x/cover/o1avda2pw9u2rr9.html,qq,咱家
4520000,6.5,https://v.qq.com/x/cover/dsslwawkk8ky67g.html,qq,伏羲女娲
7580000,8.7,https://v.qq.com/x/cover/js224xrd490gprt.html,qq,青春不言败
2300000,8.4,https://v.qq.com/x/cover/d43zn3467jbd26f.html,qq,杨光的快乐生活5
4000000000,9.6,https://v.qq.com/x/cover/i200hs4ip5a6u7a.html,qq,鬼吹灯之精绝古城
2260000,8.3,https://v.qq.com/x/cover/l376da7jcn2xilw.html,qq,杨光的快乐生活3
500000000,6.5,https://v.qq.com/x/cover/o0ktgqgwkvhmtrq.html,qq,寒山令
12940000,8.4,https://v.qq.com/x/cover/eq039a7jlft0b79.html,qq,幸福一定强
1800000000,6.5,https://v.qq.com/x/cover/zgwpjn6b4mifpg4.html,qq,放弃我抓紧我
400000000,7.2,https://v.qq.com/x/cover/vp1skgewzy4z2v0.html,qq,最后一张签证
74000000,9.0,https://v.qq.com/x/cover/qoudfsxphflt789.html,qq,深井食堂
