domain,link,play_count,name,score
sohu,http://tv.sohu.com/item/MTE5NDY3MA==.html,76264802,爸爸快长大,8.0
sohu,http://tv.sohu.com/item/MTIwMzMwNg==.html,49200368,钱塘传奇,7.0
sohu,http://tv.sohu.com/item/MTIwMDEwNw==.html,249703364,如果没有,8.0
sohu,http://tv.sohu.com/item/MTIwMzM2MQ==.html,52676530,岁月如金,8.0
sohu,http://tv.sohu.com/item/MTE5NzY5OQ==.html,76292268,急诊室故事,6.0
sohu,http://tv.sohu.com/item/MjIxODk4.html,141991172,别叫我兄弟,8.0
sohu,http://tv.sohu.com/item/MTEwMjc2NA==.html,78746425,鸳鸯佩,7.0
sohu,http://tv.sohu.com/item/MTE5OTA5Mw==.html,103282341,温州两家人,7.0
sohu,http://tv.sohu.com/item/MTE5OTk3NQ==.html,82000939,马上天下,9.0
sohu,http://tv.sohu.com/item/MTIwMzA4MA==.html,151877724,青春集结号（卫视版）,8.0
sohu,http://tv.sohu.com/item/MjIxOTk0.html,67265135,寒冬,9.0
sohu,http://tv.sohu.com/item/MTIwMjUxOA==.html,137754377,我的媳妇是女王,7.0
sohu,http://tv.sohu.com/item/MTIwNDExNQ==.html,66432282,我的铁血金戈梦,4.0
sohu,http://tv.sohu.com/item/MTE5OTM3MQ==.html,65779818,我的抗战之铁血轻奇兵,6.0
sohu,http://tv.sohu.com/item/MTE5NzQ5OQ==.html,113865510,王大花的革命生涯（未删减版）,8.0
sohu,http://tv.sohu.com/item/MTIwMjU0Nw==.html,3733810,太行山上（卫视版）,9.0
sohu,http://tv.sohu.com/item/MTIwMzU2Mw==.html,79319861,桃花运,7.0
sohu,http://tv.sohu.com/item/MTIwNDA0Nw==.html,76915985,花火,7.0
sohu,http://tv.sohu.com/item/MTIwMzAzMw==.html,938106,生死血符,10.0
sohu,http://tv.sohu.com/item/MTE5OTE2OA==.html,35324467,边关烽火情,7.0
sohu,http://tv.sohu.com/item/MTIwMzkyNg==.html,54725190,我是赵传奇,5.0
sohu,http://tv.sohu.com/item/MTE5ODQ3Mg==.html,709627,大村官之放飞梦想,6.0
sohu,http://tv.sohu.com/item/MTIwNzkzMQ==.html,31569388,映山红,6.0
sohu,http://tv.sohu.com/item/MTIwODE4Nw==.html,47910117,我是红军,8.0
sohu,http://tv.sohu.com/item/MTIwNzU2NQ==.html,55871015,女怕嫁错郎,6.0
sohu,http://tv.sohu.com/item/MTIwNTQ0NQ==.html,53399469,姐妹兄弟,7.0
sohu,http://tv.sohu.com/item/MTIwNjk5Ng==.html,103352940,结婚为什么,7.0
sohu,http://tv.sohu.com/item/MTIwNTA5Mg==.html,44028797,女人的天空,7.0
