best2_score,best3_name,job,best1_name,best4_name,best4_score,best1_score,best3_score,best2_name,id,best5_name,best5_score,name
7.7,家有杰克,actor,考斯比一家,加州套房,7.6,8.9,7.7,两对鸳鸯一张床,1010602,胖子阿伯特,6.0,比尔·考斯比
9.0,迷失  第五季,actor,辛普森一家 第二...,迷失  第四季,8.6,9.3,8.7,南方公园 第一季,1010603,迷失 第三季,8.5,切奇·马林
9.3,律师本色 第一季,actor,肖申克的救赎,夜夜迷离 第一季,8.8,9.6,9.1,法律与秩序 第一季,1010612,黑熊维尼,8.6,吉尔·贝罗斯
9.3,大西洋帝国  第二季,actor,大西洋帝国 第三季,大西洋帝国 第一季,8.9,9.3,9.2,法律与秩序 第一季,1010615,法律与秩序：犯...,8.9,朱丽安妮·尼科尔森
8.6,圣殿春秋,actor,赤子之心,白热人生,8.2,8.6,8.4,曼联重生,1010617,加勒比海盗4：惊...,7.5,山姆·克拉弗林
8.6,义犬报恩,actor,东方快车恋曲,查理的天使 第一季,8.2,8.6,8.4,西可可路一号,1010623,拉斯维加斯 第一季,7.9,切瑞·拉德
9.1,完美的世界,actor,犯罪现场调查 第...,星际旅行：重返...,8.9,9.1,9.0,律师本色 第一季,1010626,法律与秩序：犯...,8.8,布鲁斯·麦克吉尔
9.3,法律与秩序 第一季,actor,犯罪现场调查 第...,周六夜现场 第一季,9.2,9.3,9.3,豪斯医生  第六季,1010629,监狱风云  第六季,9.2,李·特格森
9.1,鳄鱼波鞋走天涯,actor,希区柯克悬念故事集,星际旅行：重返...,8.9,9.3,9.0,律师本色 第一季,1010630,太空堡垒卡拉狄...,8.8,布鲁斯·戴维森
9.2,欢乐一家亲 第一季,actor,法律与秩序 第一季,律师本色 第一季,9.1,9.3,9.1,波士顿法律 第一季,1010632,彩虹,9.0,绍尔·鲁宾内克
9.0,屋事生非 第一季,actor,南方公园 第一季,欢乐五金行 第一季,8.6,9.0,8.7,布莱克书店 第一季,1010635,十五层高 第一季,8.4,彼得·塞拉菲诺威茨
9.7,说书人,actor,老友记  第四季,Comic Relief 2009,9.0,9.7,9.1,老友记  第五季,1010636,超现实大学生活,8.5,珍妮弗·桑德斯
7.9,心跳零距离,actor,巴菲的奇妙命运,孟买之音,7.4,8.3,7.5,爱情百态,1010638,还愿之旅,7.3,佩丽冉卡·曹帕拉
