actor1,first_show,actor4,title,actor3,production_company,name2,online,style,writer,actor2,douban_num,name1,seasons,director,episodes,douban_score
章涛,2015年3月10日,佟晨洁,男人不醉,纪亚文,优酷土豆集团，浙江东阳天世文化传播有限公司，上海承宗文化,,优酷网，土豆网,都市，爱情，喜剧,杜俊，王小苔,张墨锡,366,,,叶长青，尤明宇,20集,8.5
邓飞,,陶然,青春朋友圈,周澄奥,中国教育电视台，北京乐吧乐文化传媒有限公司，北京林氏兄弟文化,,爱奇艺,喜剧，青春,,黄兆函,19,,,吴军,100集,0
艾伦、张小斐、衣云鹤,,,若是如此,,,,,,,,97,搜狐视频,,,,8.1
李易峰,,,解忧买手店,,蘑菇街,,爱奇艺 腾讯 优酷,青春 偶像,江桥,,257,,,范阳仲,5集,7
韩锐,,邹思扬,笑创水浒,何欢,北京西西里文化传媒有限公司,,爱奇艺[4],创业 英雄 搞笑 爱情,晋美华旦,左佳妮,,,,郭东旭,21集,
宋佳,2013-01-08,任东霖,等你回家,王靖云,,,爱奇艺，百度影音 土豆 优酷,爱情，励志，家庭,宋秋雁[1],何建泽,5,,,刘二威/殷飞[1],35,0
,,,孤独的美食家 中国版,,,,,,,,,,,,,
谢祖武,2015年2月17日,郭彦甫,PMAM欲望俱乐部,梁正群,乐视网,,乐视网午间自制剧场,都市爱情,詹仁雄,林采缇,,,,陈彦铭(B2),40集,
杨易,2015-11-09,翟立成,疯狂直男,王博,金跃动力,,全网,爆笑喜剧,于小源  张超,于小源,,,,于小源,10,
吴谨西,,王议伟,疗伤客栈,王佳宇 ,,,优酷 土豆,言情 / 搞笑 / 剧情,,张词,6,,,任飞 刘华一,30集,0
,,,一万里外的蓝天,,,,,,,,12,,,,,0
汪起正,2015年10月11日,Amy Grubb-Han,爱情CEO,张翼翔,优酷,,优酷土豆,歌舞/爱情,汪起正,陈雅斓,12,,,汪起正,14,0
王城祖,,,中国散伙人,周子龙,南京突触文化传媒有限公司,,腾讯视频,创业，搞笑，资深行业剧,李孟元，杨天桓，王自新，罗珍妮,刘芷含,879,,,谢亮,10集,6.8
肖旭,2015年1月10日,龚格尔,沙僧日记,肥龙,乐视网,,乐视网,喜剧,林长治,曹然然,79,,,尚艺,16,6.4
姜晓冲,2015年7月17日,,十夜谈,苏濛濛,猫片,,腾讯视频,恐怖,,宫哲,34,,,陆长河,11集,5.4
周韵茹,2015年4月26日,徐开骋,校花攻略,杨凯琳,华策克顿微幕行天工作室,,优酷 土豆网,校园/青春/爱情,文雅,宋海颉,37,,,胡涵清,16集,7.1
罗燕,,李霞,女大学生宿舍,陈鸿梅,上海电影制片厂,,,剧情,喻杉,徐娅,1060,,,史蜀君,,7.5
林佑威,2015年,莫允雯,来自未来的史密特,赖琳恩,乐视网信息技术（北京）股份有限公祠,,乐视网,爱情,胡婷；胡娜,李毓芬,56,,,吴蒙恩,40集,5.9
许京川 / 徐汶萱 / 张佳琳,,,摩码者,,逸辰时代,,,悬疑,,,5,,,罗乐,,0
张文汇,2015年7月21日,,坏才刘科学,,日照汇友文化传媒有限公司,,优酷，腾讯，华数TV,网剧,张文汇，徐亮,,,,,张文汇,8集,
,,,传奇酒馆,,,,,,,,18,,,,,0
大鹏,2016年3月17日[1],,绝不逗你玩,乔杉,,,爱奇艺、优酷、腾讯视频、搜狐视频[1],喜剧片,,柳岩,55,,,董成鹏,4集,5.5
"牛信信[1] 
",,"倪虹洁[1] 
",学渣少年,"何云伟[1] 
",搜狐视频,,,喜剧,牛朝阳，黄磊 ， 黄晓光， 李梦娇,"孙越[1] 
",1,,,牛朝阳[1],,0
林月清,2016年2月,陈泽轩,痞子女神,王怡艳,福州拓野影视制作有限公司,,优酷土豆独家播出,喜剧片,陈冬梅,金士城,,,,李书振,12集,
罗嘉良,2013年3月4日 湖南电视剧频道,王希维,女人的武器,胡兵,西安海润影视制作有限公司,,,生活，都市，言情,徐磊,韩雪,48,,,刘二威 殷飞,40集,5.5
马诺,2015年9月15日,,妖精别走 第二季,余浩瑞,肥猫兄弟工作室,,腾讯视频,二次元,有时右逝 李圣杰,傅颖,5,,,任凭,10,0
黄经天 许超,,,甄志丙的奇幻旅程,,深圳万物生长影视传媒有限公司,,腾讯视频,搞笑，喜剧，穿越,黄经天 许超 周融（前四集）,,,,,杨科南 周彤（前四集）,,
孙晟昊,2015年10月14日,,装哔学院,李治源,以梦为马（上海）文化传媒有限公司,,全网,喜剧/迷你剧,张健美 余玦 马陌上,赵寿俊,59,,,马陌上,,0
宿宇杰,2015年8月20日,程诗迦,我为什么没有男女朋友,陶媛媛,金色世纪文化传媒无锡有限公司,,,爱情，搞笑,郁小桐 王晟,徐乐同,10,,,郁小桐,8集,0
张植绿,2015年9月16日,朴宰用,文艺编导班,苏晗,影匠联盟，万禾传媒,,腾讯视频,,竺逸麟，骆生,马璐,3,,,丁文,12集,0
,,,女仆咖啡厅,,,,,,,,2731,,,新房昭之,,8.6
黄才伦,2015年02月21日,韩云云,江湖学院,谢波,优酷土豆集团,,优酷，土豆,剧情，武侠，搞笑,吴昱翰，杨沅翰,陈昊明,,,,吴昱翰，杨沅瀚,8集,
,,,水果总动员,,,,,,,,3,,,,,0
高宇,2015年7月6日,卓煜茜,那一年之痞子老师,董玉峰,北京大美星光影视文化传媒有限公司,,腾讯视频独播,校园 青春 喜剧,慕琦,廖京生,10,,,刘子玉,13集,0
高爽 ,,,别学我,,搞莱坞,,腾讯,网络剧 喜剧 剧情 搞笑剧 情景短剧,,金夏慧子,,,,王跃,10集,
,,,女神的战争,,,,,策略类,,,14,,,,,0
李佳鑫,,,大话西漂,,,,爱奇艺,网络剧,,柳文轩,,,,王乐涛,3集,
吴启华,2010年,杜宁林,网商,方圆,,,优酷,都市励志,贺然,果静林,35,,,张轩南,29集,0
裴佑熙,2016年10月14日,,每天都换男朋友,洪丽珠,上海数元影视传媒股份有限公司,,腾讯视频,爱情，喜剧，穿越,金秀真,L.Joe(李秉乔）,6,,,齐杰,12,0
,,,超级同桌,,,,,,,,,,,,,
,,,拾遗居神女应无恙,,,,,,,,,,,,,
,,,尖叫制片厂 第二季,,,,,,,,,,,,,
胡雯滔,,孙媛,囧囧十二座,郑子佳,浙江七速影视传媒有限公司,,乐视网,爆笑，魔幻，星座，少年[4],王卓慧,马睿泽,1,,,裴冬,12,0
,,,别担心！会红的,,,,,,,,6,,,,,0
,,,哎呀我去 第三季,,,,,,,,,,,,40,
孙曳汐,2015年1月28日,王霏,毁童年,周思妍,北京利美嘉亿文化传媒有限公司 弘艺方舟影视传媒 锐徕思影视,,优酷,搞笑 荒诞 无厘头 穿越,吃天线 我是二货,王宏洋,8,,,美女导演张帆,十集,0
容海,2015-03-12,,神经情侣,,北京容海工作室[2],,搜狐视频[3],,容海,王洁(王洁儿),,,,容海,6集,
董骠,,李丽珍,富贵逼人,陈奕诗,,,迅雷看看[2],喜剧,陈健忠,沈殿霞,11119,,,高志森,,7.4
李天恩,2016年1月13日,,躺飞男神,,上海浩衍文化传媒有限公司,,爱奇艺,励志,,邹杨,4,,,,6,0
安妮·考森斯,,,女人的秘密,托尼·托德,,,,爱情,维吉尼·瓦贡Virginie Wagon，埃瑞克·宗卡Erick Zonca,Michel Bompoil,20,,,维吉尼·瓦贡,,0
