link,score,name,play_count,domain
http://www.le.com/tv/88387.html,8.0,少年神探狄仁杰,156465564,le
http://www.le.com/tv/10009629.html,8.0,壮丁也是兵,60942499,le
http://www.le.com/tv/10012434.html,8.5,调皮王妃,792189561,le
http://www.le.com/tv/10003850.html,8.0,草帽警察,53100820,le
http://www.le.com/tv/10014977.html,9.0,芈月传安徽卫视版,157264582,le
http://www.le.com/tv/10010364.html,7.1,克拉恋人,932422096,le
http://www.le.com/tv/10007460.html,8.1,王大花的革命生涯,53306553,le
http://www.le.com/tv/10008925.html,8.1,想明白了再结婚,519007495,le
http://www.le.com/tv/10010250.html,8.9,我的宝贝,152556038,le
http://www.le.com/tv/10009173.html,8.5,烽火英雄传,80677462,le
http://www.le.com/tv/10007150.html,8.5,夜班医生第二季,8543471,le
http://www.le.com/tv/10009176.html,7.3,冬暖花会开,73374711,le
http://www.le.com/tv/95709.html,8.5,极品新娘,778110189,le
http://www.le.com/tv/10009834.html,9.0,学姐知道第二季,152101448,le
http://www.le.com/tv/93325.html,7.8,千金女贼,581405694,le
http://www.le.com/tv/10010588.html,9.9,冰与火的青春未删减版,22808812,le
http://www.le.com/tv/10010209.html,8.5,淑女涩男,284559460,le
http://www.le.com/tv/82303.html,8.7,乱世书香,126990452,le
http://www.le.com/tv/83884.html,8.5,长安三怪探,22730158,le
http://www.le.com/tv/10014979.html,8.5,芈月传 创作纪实,61992120,le
http://www.le.com/tv/10009191.html,8.3,我为儿孙当北漂未删减版,4409731,le
http://www.le.com/tv/10009141.html,7.4,活色生香 江西卫视版,9602383,le
http://www.le.com/tv/10014790.html,8.0,家和万事兴,375194818,le
http://www.le.com/tv/10015199.html,8.0,家和万事兴未删减版,25797949,le
http://www.le.com/tv/10006766.html,8.3,屌丝留学记第二季,30930901,le
http://www.le.com/tv/10011305.html,9.0,伪装者未删减版,92330700,le
http://www.le.com/tv/92998.html,8.0,恋恋不忘未删减版,70932839,le
http://www.le.com/tv/10012161.html,8.8,二胎时代未删减版,74775366,le
http://www.le.com/tv/93093.html,8.5,卫子夫未删减版,453998242,le
http://www.le.com/tv/10010774.html,8.5,二胎时代,246225819,le
http://www.le.com/tv/84215.html,8.1,老爸回家,85265053,le
http://www.le.com/tv/10016916.html,8.8,美丽的秘密未删减版,20302979,le
http://www.le.com/tv/10006537.html,8.5,兵出潼关,61305742,le
http://www.le.com/tv/10008318.html,8.0,美丽的秘密,503741045,le
http://www.le.com/tv/96466.html,7.8,青春烈火,274969093,le
http://www.le.com/tv/85098.html,5.3,血色黎明,61424167,le
http://www.le.com/tv/10006021.html,8.2,因为爱情有奇缘,45358628,le
http://www.le.com/tv/10002197.html,8.9,犀利仁师TV版,105785770,le
http://www.le.com/tv/83217.html,7.6,团圆饭,63444995,le
http://www.le.com/tv/96040.html,6.0,傻妞归来,500165707,le
http://www.le.com/tv/10005567.html,8.8,觉醒者,44954970,le
http://www.le.com/tv/10006201.html,8.0,我要当八路,77548204,le
http://www.le.com/tv/10000273.html,7.6,女王驾到,19254937,le
http://www.le.com/tv/10002307.html,6.8,无尽的爱,96629432,le
http://www.le.com/tv/10000403.html,8.6,枪火,81489571,le
http://www.le.com/tv/10002061.html,8.0,幸福从天而降,140636813,le
http://www.le.com/tv/10000550.html,8.0,傻儿传奇,59535134,le
http://www.le.com/tv/10006521.html,8.8,青年医生,425182193,le
http://www.le.com/tv/95571.html,7.0,完美新娘,46424727,le
http://www.le.com/tv/10003477.html,8.5,神盾局特工第二季,78364113,le
http://www.le.com/tv/10005489.html,6.5,绝地枪王,108651093,le
http://www.le.com/tv/10005105.html,8.0,铁血武工队传奇,100682869,le
http://www.le.com/tv/10006144.html,8.2,情定三生,83205672,le
http://www.le.com/tv/10004191.html,8.9,雪豹坚强岁月,107631358,le
http://www.le.com/tv/93522.html,7.5,婚战,48511896,le
http://www.le.com/tv/10006017.html,7.9,大都市小爱情,63812560,le
