play_count,name,score,domain,link
9824275,婚里婚外那些事,7,youku,http://list.youku.com/show/id_ze5e09b04dfcf11e3a705.html
15605262,抉择,7,youku,http://list.youku.com/show/id_z69259c68270c11e2b356.html
10579615,大道通天,7.3,youku,http://list.youku.com/show/id_z923ed81c856211e2a19e.html
103251198,Yif魔幻 第二季,8.6,youku,http://list.youku.com/show/id_z915fd91e8b0a11e4b432.html
17484458,好男儿之情感护理,8.4,youku,http://list.youku.com/show/id_z5fd862aab66411e49e2a.html
39903995,婚姻攻防战之爱要付出,8.5,youku,http://list.youku.com/show/id_zc4718c0489eb11e5be16.html
15575898,女仆咖啡厅,7.4,youku,http://list.youku.com/show/id_zb2c8427865c811e5b0dc.html
65497273,婚姻时差 北京卫视版,9,youku,http://list.youku.com/show/id_zb4f99dfcf38c11e4abda.html
21794000,暖男的爱情与战争,8,youku,http://list.youku.com/show/id_z7da39514985d11e3b8b7.html
19206732,新济公活佛 下部未删减版,8.7,youku,http://list.youku.com/show/id_za986c344770f11e5a080.html
44608754,别让我看见,8.5,youku,http://list.youku.com/show/id_ze265ed70657c11e4b432.html
16639702,神犬小七 未删减版,9.2,youku,http://list.youku.com/show/id_zcff2a4ee3cf411e5b5ce.html
13255205,生死兄弟情,6.9,youku,http://list.youku.com/show/id_z273b3da805c611e5b2ad.html
17307101,婚姻时差 广东卫视版,8.9,youku,http://list.youku.com/show/id_zbad1c83cfeb611e49e2a.html
110903473,优叻个秀 第一季,9,youku,http://list.youku.com/show/id_zeb0b580a86ca11e5b522.html
15632781,小爸妈 未删减版,8.8,youku,http://list.youku.com/show/id_z16f971a01fb911e5b522.html
943817047,新济公活佛 下部TV版,9.3,youku,http://list.youku.com/show/id_z9fb4364e770f11e5b692.html
26818943,大汉情缘之云中歌 未删减版,9.2,youku,http://list.youku.com/show/id_z614d5a7c560b11e59e2a.html
59795895,山海经之山河图,9,youku,http://list.youku.com/show/id_z8103d4aca23911e5b522.html
105796825,国产大英雄,9.1,youku,http://list.youku.com/show/id_z55030d44080d11e5a080.html
29429505,爱的保镖,7.5,youku,http://list.youku.com/show/id_z2c739bd60d9111e4b2ad.html
183145944,球爱酒吧,7.1,youku,http://list.youku.com/show/id_z24f7bb0cf69511e38b3f.html
25530142,用一生去爱你,5.1,youku,http://list.youku.com/show/id_z781791a80d8911e48b3f.html
62591845,美人如画 DVD版,5.8,youku,http://list.youku.com/show/id_zb5b09e60d5d811e0a046.html
14726185,亲情保卫战,4.5,youku,http://list.youku.com/show/id_zcb90ae12a96911e2a19e.html
152015628,不是不想嫁,5.9,youku,http://list.youku.com/show/id_za6e80bc0fc0911e38b3f.html
7223990,大南迁,7,youku,http://list.youku.com/show/id_z6a1abca41baf11e4b2ad.html
8892207,洪流,6.2,youku,http://list.youku.com/show/id_zfb3478f021f911e097c0.html
4852825,骄阳似我 完整版,8.7,youku,http://list.youku.com/show/id_z47b7dfc658a411e38b3f.html
32895661,家宴,5.3,youku,http://list.youku.com/show/id_z4b974058607c11e2b356.html
4187396,待到山花烂漫时,6.1,youku,http://list.youku.com/show/id_zcd6e00eadf6711e0a046.html
35971323,养女,3.8,youku,http://list.youku.com/show/id_z4a97a6e8224211e2b2ac.html
10136537,黄金背后,4.4,youku,http://list.youku.com/show/id_zd7e1d98032c111e296ac.html
53685152,清网行动,6.7,youku,http://list.youku.com/show/id_z8a04dada657a11e4b2ad.html
8102197,返城年代,4,youku,http://list.youku.com/show/id_zc0670528a27d11e3b8b7.html
18152869,穿越火线 DVD版,6.1,youku,http://list.youku.com/show/id_z13e8388c55d111e4abda.html
22760164,憨妻的都市日记,5.9,youku,http://list.youku.com/show/id_z90ff88502f5e11e4b2ad.html
21686255,油菜花香,6.1,youku,http://list.youku.com/show/id_zc2457ed2aedc11e29498.html
213671753,一又二分之一的夏天 TV版,8.4,youku,http://list.youku.com/show/id_zd3baef52d7c311e2b2ac.html
73828710,微笑江湖,6.9,youku,http://list.youku.com/show/id_z5e078870ce9311e38b3f.html
19329353,九死一生,3.6,youku,http://list.youku.com/show/id_z1f12e4a0f78511e38b3f.html
762816,天下一碗,0,youku,http://list.youku.com/show/id_zcbffe0c2962411de83b1.html
42627281,兄弟兄弟,5.4,youku,http://list.youku.com/show/id_z7c757fcac42511e2a19e.html
15138860,火线英雄,8.6,youku,http://list.youku.com/show/id_zd2f20ff2c4c511e3a705.html
4498770,钱塘传奇,8.4,youku,http://list.youku.com/show/id_za9b90eead32c11e3b8b7.html
19702783,铁甲舰上的男人们,8.6,youku,http://list.youku.com/show/id_ze50c298ce32f11e49e2a.html
136290055,恋上黑天使,9.3,youku,http://list.youku.com/show/id_z6d9d429e78a011e5b432.html
30653768,爱你一生,7.3,youku,http://list.youku.com/show/id_zf8421deae32f11e4a080.html
1183427,新京华烟云,8.2,youku,http://list.youku.com/show/id_zfbd93cd0b7b811e2be40.html
39143614,出关,7.4,youku,http://list.youku.com/show/id_zf0fce26679c911e38b3f.html
57982903,映山红,7,youku,http://list.youku.com/show/id_zea4a034ad48a11e5b32f.html
17641952,爱情不打烊,8.3,youku,http://list.youku.com/show/id_z32ea6056ed5e11e38b3f.html
21444611,爱情碟中谍 未删减版,9,youku,http://list.youku.com/show/id_z407798a0927711e5b522.html
5330228,冰与火的青春 未删减版,9,youku,http://list.youku.com/show/id_zb4c7f9ee156711e5b432.html
29968433,麻雀春天,7.2,youku,http://list.youku.com/show/id_z4a6aca542e5411e4b432.html
54485136,大舜,8.9,youku,http://list.youku.com/show/id_z3a30429c855211e2b16f.html
61264874,猜拳,7.2,youku,http://list.youku.com/show/id_zbc033596d13f11e49e2a.html
58983433,如果爱可以重来,8.2,youku,http://list.youku.com/show/id_z292aa410c17811e4b8e3.html
64306994,二婶,8.2,youku,http://list.youku.com/show/id_zc2859158f38f11e4b522.html
142120794,爱的秘笈,9.1,youku,http://list.youku.com/show/id_z6bfca54ad00b11e3a705.html
32434414,爱你不放手,6.1,youku,http://list.youku.com/show/id_zfbd377c4a99711e3a705.html
5996576,生死血符,8.8,youku,http://list.youku.com/show/id_z3b1a8d2c554611e5b522.html
14239195,不能没有家,7.9,youku,http://list.youku.com/show/id_zff5a1b1e96ab11e29498.html
28800878,私房钱,8.8,youku,http://list.youku.com/show/id_z7b27b4d88d1011e5b692.html
16258155,大江东去,7.7,youku,http://list.youku.com/show/id_z12f82d94f55c11e4a080.html
47366112,坐88路车回家,8.8,youku,http://list.youku.com/show/id_zbe51181032f111e38b3f.html
15850093,聊斋新编 DVD版,8.7,youku,http://list.youku.com/show/id_z426a45a4f3ad11e4abda.html
53246945,秦时明月 未删减版,9.3,youku,http://list.youku.com/show/id_zbf15e83a927511e5a080.html
47152939,末代皇帝传奇,8.8,youku,http://list.youku.com/show/id_zea8ac3a2708211e4abda.html
21712466,离婚协议,8,youku,http://list.youku.com/show/id_z12462a52855d11e2b356.html
101790279,裸婚之后 TV版,5.9,youku,http://list.youku.com/show/id_z1b78e956d33211e38b3f.html
13004807,人是铁饭是钢,5.8,youku,http://list.youku.com/show/id_zf74ef0e8da8c11e0a046.html
88441043,相爱十年 DVD版,7.3,youku,http://list.youku.com/show/id_z3a3191ae0ffc11e2b16f.html
42705412,我的博士老公,8.9,youku,http://list.youku.com/show/id_z01c1638625bc11e3a705.html
87352935,当婆婆遇上妈之欢喜冤家,6.4,youku,http://list.youku.com/show/id_z8b9e306216f611e4b2ad.html
61912841,错婚,4.3,youku,http://list.youku.com/show/id_z9f7d7a46a77111df97c0.html
19326948,领袖,6.9,youku,http://list.youku.com/show/id_zeb81643a47b711e4a080.html
7874660,追求幸福的日子,5.9,youku,http://list.youku.com/show/id_z1022622a0d8a11e48b3f.html
9271635,嫁给爱情,6.1,youku,http://list.youku.com/show/id_zbe82187ec41711e1b2ac.html
2960982,真爱背后,8.5,youku,http://list.youku.com/show/id_z3da5eccaf65411e1b356.html
40164534,"我在北京,挺好的",5.5,youku,http://list.youku.com/show/id_z641f16b6fd6e11e2b8b7.html
78531432,老爸回家,5.8,youku,http://list.youku.com/show/id_z0ae32ae2a0da11e2a19e.html
29941519,一又二分之一的夏天 DVD版,8.4,youku,http://list.youku.com/show/id_z0547630c036011e4b2ad.html
