rating2,ranking2,link,style,year,share3,actors4,actors2,thumbs_up,seasons,ranking3,name3,show_theatre,share2,name1,episodes,douban_score,share4,name2,length,rating4,show_date,play_count,show_time,actors1,ranking1,name4,location,aid1,rating1,ranking4,thumbs_down,title,production_company,aid4,share1,id,did,aid2,douban_num,score,show_platform,language,first_show,actors3,rating3,director,writer,aid3
,,https://movie.douban.com/subject/20258941/,剧情/历史,2014,,任程伟,杨紫,,1,,,,,,32,9.1,,, 45分钟,,,,2015年8月25日,霍建华,,,中国大陆,,0.8279285714285713,,,战长沙,山东影视传媒集团有限公司、山东电影电视剧制作中心,,2.491923076923077,20258941,,,45286,,湖南卫视,,2014-03-08(中国大陆),左小青,,孔笙,吴桐,
5.127407407407407,1.0,https://movie.douban.com/subject/2294255/,武侠/古装,1996,,陈少霞,梁艺龄,,1,,,"《
金鹰独播剧场
》",17.492592592592594,,43,8.2,,, 43分钟,,2013年2月06日,,19:30三集联播,吕颂贤,1.0769230769230769,,香港,,1.6020740740740738,,,笑傲江湖,于正工作室、华夏视听环球传媒、完美世界影视、湖南广电,,4.232592592592593,2294255,,,24346,,湖南卫视,,1996-06-24(香港),何宝生,,刘国豪,金庸,
,,https://movie.douban.com/subject/3904560/,历史,1998,,臧金生,宁晓志,,1,,,,,,43,8.3,,, 45分钟,,,,,李雪健,,,中国大陆,,,,,水浒传,,,,3904560,,,21275,,,,1998-01-03(中国),周野芒,,张绍林,杨争光,
,,https://movie.douban.com/subject/2078864/,剧情/爱情,2007,,泰勒·摩森,莉顿·梅斯特,,6,,,,,,18,7.9,,, 45分钟,,,,,布蕾克·莱弗利,,,美国,,,,,绯闻女孩 第一季,CW电视台,,,2078864,,,88318,,,,2007-09-19(美国),切斯·克劳福,,罗杰·昆宝,乔什·施瓦兹,
,,https://movie.douban.com/subject/26393509/,喜剧/爱情,2016,,南柱赫,金高银,,1,,,,,,16,7.3,,, 60分钟,,2016.01.04,,周一、二 23:00,朴海镇,,,韩国,,,,,奶酪陷阱,Eight Works、Kross Pictures,,,26393509,,,34374,,tvN有线台,,2016-01-04(韩国),徐康俊,,李允贞,金南熙,
,,https://movie.douban.com/subject/3901388/,喜剧/家庭,1993,,梁天,宋丹丹,,1,,,,,,120,9,,, 20-30分钟,,,,1993年,文兴宇,,,中国大陆,,,,,我爱我家,中国国际文化艺术中心,,,3901388,,,37179,,深圳电视台,,1993-07-01(中国大陆),杨立新,,英达,梁左,
,,https://movie.douban.com/subject/10590706/,剧情/奇幻/冒险,2013,,伊萨克·亨普斯特德-怀特,艾米莉亚·克拉克,,8,,,,,,10,9.4,,, 60分钟,,2013年04月01日,,,麦茜·威廉姆斯,,,美国/英国,,,,,权力的游戏 第三季,Home Box Office (HBO),,,10590706,,,94165,,,,2013-03-31(美国),理查德·麦登,,丹尼尔·米纳汉,乔治·马丁,
,,https://movie.douban.com/subject/4707205/,喜剧/爱情,2010,,孙艺洲,王传君,,1,,,,,,20,8.3,,, 50分钟,,,,,娄艺潇,,,中国大陆,,,,,爱情公寓2,上海电影（集团）有限公司,,,4707205,,,58674,,,,2011-01-24(中国大陆),赵文琪,,韦正,汪远,
,,https://movie.douban.com/subject/4804079/,喜剧,2010,,西蒙·赫尔伯格,吉姆·帕森斯,,10,,,,,,24,9.2,,, 20分钟,,,,,约翰尼·盖尔克奇,,,美国,,,,,生活大爆炸  第四季,华纳兄弟电视公司,,,4804079,,,98902,,,,2010-09-23(美国),凯莉·库柯,,马克·森卓斯基,比尔·布拉迪,
,,https://movie.douban.com/subject/2373267/,剧情,2008,,牛莉,萨日娜,,1,,,,,,52,8.8,,, 47分钟,,,,,李幼斌,,,中国大陆,,,,,闯关东,山东电影电视剧制作中心大连电视,,,2373267,,,23076,,,,2008-01-02(中国大陆),宋佳,,张新建,高满堂,
2.800928571428571,1.7073170731707317,https://movie.douban.com/subject/21766654/,剧情/古装,2015,,刘涛,黄轩,,1,,,,7.157404761904763,东方卫视CSM50城收视,81,5.2,,北京卫视CSM50城收视, 40分钟,,2015年11月30日,,,孙俪,1.2926829268292683,,中国大陆,,2.8690714285714285,,,芈月传,东阳市花儿影视、儒意欣欣影业、星格拉影视,,7.350000000000001,21766654,,,52401,,"东方卫视
[4]",,2015-11-30(中国大陆),方中信,,郑晓龙,蒋胜男,
,,https://movie.douban.com/subject/1764730/,喜剧/爱情,2004,,韩恩贞,郑智薰,,1,,,,,,16,7.9,,, 66分钟,,,,,宋慧乔,,,韩国,,,,,浪漫满屋,韩国KBS电视台,,,1764730,,,76140,,,,2004-07-14(韩国),金圣洙,,表民洙,敏孝正,
,,https://movie.douban.com/subject/2279817/,剧情/爱情,2000,,郭涛,任泉,,1,,,,,,23,6.9,,, 46分钟,,,,,李小璐,,,中国大陆,,,,,都是天使惹的祸,江苏福纳文化传播有限公司,,,2279817,,,25466,,,,,张延,,梦继,闫刚,
,,https://movie.douban.com/subject/2148374/,剧情/家庭,2001,,董晓燕,梅婷,,1,,,,,,23,7.7,,, 40分钟,,,,,冯远征,,,中国大陆,,,,,不要和陌生人说话,湖北唯艺传播有限公司,,,2148374,,,24497,,,,2001-10-22(中国大陆),王学兵,,张建栋,薛晓路,
,,https://movie.douban.com/subject/2224813/,剧情/爱情,2002,,刘佩琦,倪景阳,,1,,,,,,22,6.9,,, 45分钟,,,,,保剑锋,,,中国大陆,,,,,十八岁的天空,北京华录百纳影视有限公司,,,2224813,,,26361,,,,2002,范志菱,,李济昌,王博,
,,https://movie.douban.com/subject/24697949/,剧情,2013,,及川光博,上户彩,,1,,,,,,10,9.1,,, 45分钟,,2013.7.7,,,堺雅人,,,日本,,,,,半泽直树,日本TBS电视台,,,24697949,,,104069,,,,2013-07-07(日本),香川照之,,福澤克雄,八津弘幸,
,,https://movie.douban.com/subject/3991933/,剧情,2009,,松重丰,须藤理彩,,1,,,,,,10,9.2,,, 25,,2017,,,小林薰,,,日本,,,,,深夜食堂,北京华录百纳影视股份有限公司,,,3991933,,,93083,,北京卫视,,2009-10-09(日本),田畑智子,,松冈锭司,真边克彦,
,,https://movie.douban.com/subject/6312211/,剧情/喜剧/爱情,2012,,王传君,陈赫 He Chen,,1,,,"《
海豚第一剧场
》",,,24,7.3,,, 45分钟,,,,2012年7月30日19点30分,娄艺潇,1.3333333333333333,,中国大陆,,1.3630833333333336,,,爱情公寓3,上影集团，高格影视，辛迪加影视,,3.5908333333333338,6312211,,,49979,,安徽卫视,,2012-07-30(中国大陆),邓家佳,,韦正,汪远,
,,https://movie.douban.com/subject/5958582/,剧情/爱情/家庭,2011,,丁嘉丽,姚笛,,1,,,,,,30,7.8,,, 40分钟,,,,2011年6月11日,文章,,,中国大陆,,,,,裸婚时代,北京光彩世纪文化艺术有限公司,,,5958582,,,44135,,江苏卫视黄金档,,2011-06-03(中国大陆),张凯丽,,滕华涛,月影兰析(小说作者),
,,https://movie.douban.com/subject/25823275/,奇幻/武侠/古装,2016,,舒畅,赵丽颖,,1,,,,,,55,5.3,,, 45分钟,,,,,李易峰,,,中国大陆,,,,,青云志,欢瑞世纪影视传媒股份有限公司,,,25823275,,,34584,,,,2016-07-31(中国大陆),杨紫,,朱锐斌,邵潇逸,
